order_id,customer_id,category,amount,order_date
1148,CUST036,Sports,158.76,2024-04-15
1149,CUST036,Books,355.22,2024-01-02
1150,CUST037,Home,257.48,2024-04-01
1151,CUST037,Apparel,387.77,2024-04-26
1152,CUST038,Home,95.95,2024-03-21
1153,CUST038,Home,400.54,2024-02-10
1154,CUST038,Home,132.33,2024-02-07
1155,CUST038,Sports,475.49,2024-01-01
1156,CUST038,Home,164.18,2024-04-09
1157,CUST038,Sports,382.57,2024-01-26
1158,CUST038,Home,354.83,2024-03-08
1159,CUST038,Sports,285.11,2024-02-05
1160,CUST039,Books,419.27,2024-03-30
1161,CUST039,Books,301.54,2024-01-06
1162,CUST039,Books,495.73,2024-01-14
1163,CUST039,Apparel,226.01,2024-02-15
1164,CUST039,Electronics,186.54,2024-01-31
1165,CUST039,Home,91.5,2024-01-18
1166,CUST039,Electronics,145.04,2024-02-28
1167,CUST040,Electronics,346.74,2024-01-22
1168,CUST040,Electronics,89.12,2024-01-12
1169,CUST040,Apparel,170.64,2024-03-02
