date,category,region,units,revenue
2024-03-10,Apparel,East,37,1065.01
2024-03-11,Sports,South,23,501.29
2024-03-12,Apparel,South,16,1352.09
2024-03-12,Books,South,22,1362.32
2024-03-12,Sports,West,26,1995.48
2024-03-13,Electronics,North,30,1655.31
2024-03-14,Apparel,North,25,207.6
2024-03-14,Books,South,17,408.94
2024-03-14,Home Goods,West,12,326.57
2024-03-15,Apparel,North,34,2756.01
2024-03-15,Home Goods,North,3,235.15
2024-03-15,Electronics,East,19,544.79
2024-03-16,Sports,West,34,2046.11
2024-03-16,Books,South,34,2877.59
2024-03-16,Electronics,North,34,2865.37
2024-03-17,Electronics,South,18,1686.99
2024-03-17,Electronics,South,38,1426.1
2024-03-17,Sports,South,22,1219.02
2024-03-18,Electronics,East,20,1128.15
2024-03-18,Sports,West,7,269.19
2024-03-18,Home Goods,South,25,2003.32
2024-03-19,Electronics,North,21,412.13
2024-03-19,Books,North,9,139.23
2024-03-19,Electronics,West,32,2661.3
2024-03-20,Electronics,East,33,2027.23
2024-03-21,Electronics,East,16,1061.45
2024-03-22,Electronics,East,24,1636.11
2024-03-22,Home Goods,East,18,1563.94
2024-03-23,Sports,West,13,424.77
2024-03-23,Apparel,West,8,124.45
2024-03-24,Sports,West,1,17.8
2024-03-25,Electronics,West,21,187.24
2024-03-26,Sports,West,17,382.6
2024-03-26,Apparel,West,18,1235.31
2024-03-26,Books,North,14,699.09
2024-03-27,Books,South,4,145.86
2024-03-27,Sports,West,19,986.83
2024-03-27,Electronics,East,22,1572.7
2024-03-28,Home Goods,South,24,1789.61
2024-03-29,Apparel,East,23,1299.81
2024-03-29,Sports,West,38,1912.18
2024-03-30,Sports,North,36,2294.11
2024-03-30,Electronics,South,31,2842.67
2024-03-30,Electronics,East,39,3656.13
